Departamento,Fechas,Lugar,Festividades
Apurimac,Ente febrero y marzo,Todo Apurímac,Carnavales
Apurimac,19 de marzo,Andahuaylas y San Jerónimo,"Patrón San José y fiesta de los
carpinteros San Jerónimo, Talavera, Chincheros
Domingo de Ramos"
Apurimac,2 de mayo,"Andahuaylas, Chincheros",Cruz Velácuy
Apurimac,3 de mayo,"Abancay, Tambopata",Cruz Velacuy
Apurimac,13 mayo,Grau,Festividad de la Virgen de Fátima
Apurimac,15 de mayo,"Andahuaylas, Talavera, Tambobamba",San Isidro Labrador
Apurimac,13 de junio,Chincheros,San Antonio
Apurimac,19 de junio,Pacucha,Sóndor Raymi
Apurimac,25 de abril,Antabamba (Apurímac),Fiesta de San Marcos
Apurimac,24 de junio,Apurímac,Fiesta de San Juan
Apurimac,29 de junio,Apurímac,Fiesta de San Pedro
Apurimac,25 de julio,Abancay,Fiesta de patrón de Santiago
Apurimac,28 de julio,"Andahuaylas, Tintay, Chalhuanca",Yawar Fiesta
Apurimac,31 de julio,Chalhuanca (Aymaraes),Fiesta del Señor de Animas
Apurimac,5 de agosto,"Aymaraes, Antabamba",Fiesta de la Virgen de las Nieves
Apurimac,15 de agosto,Grau y Cotabambas,Fiesta de la Virgen de la Asunción
Apurimac,8 de setiembre,"Abancay, Andahuaylas",Fiesta de la Virgen de Cocharcas
Apurimac,3 de noviembre,Andahuaylas,"Peregrinación al santuario del Señor
del Huanca del cerro Campanayoc"
Apurimac,24 de setiembre,Antabamba,Fiesta de Nuestra Señora de las Mercedes
Apurimac,7 de octubre,Abancay,Fiesta de la Virgen del Rosario
Apurimac,3 de noviembre,Abancay,Aniversario de la ciudad
Apurimac,8 de diciembre,Cotabambas,Fiesta de la Virgen de la Concepción
Apurimac,25 de diciembre,Todo el departamento,Navidad
Arequipa,6 de enero,Tiabaya,"Bajada de los Reyes y sacudimiento de los
perales"
Arequipa,20 de enero,"San Juan de Sihuas, Condesuyos","Condesuyos Fiesta del Señor de la
Sentencia"
Arequipa,1-4 de febrero,Caravelí,Fiesta de la Virgen del Buen Paso
Arequipa,19 de febrero,Diversas provincias de la región,Fiesta de la Virgen de la Candelaria
Arequipa,Febrero,Toda la región,Carnavales
Arequipa,Marzo,Toda la región,Semana Santa
Arequipa,1 de mayo,"Distrito de Polobaya, Arequipa","Fiesta y peregrinación al Santuario
de la Virgen de Chapi"
Arequipa,1-3 de mayo,Toda la región,Fiesta de las cruces
Arequipa,15 de mayo,Diversas provincias de Arequipa,Fiesta de San Isidro Labrador
Arequipa,24 de junio,"Distrito de Yanahuara, Arequipa",Fiesta de San Juan Bautista
Arequipa,27 de julio,Tiabaya,Fiesta de la Virgen del Perpetuo Socorro
Arequipa,24 de julio,"Distrito del Characato, Arequipa",Peleas de toros
Arequipa,14-17 de julio,Diversas provincias de la región,Fiesta de la Virgen del Carmen
Arequipa,3 de agosto,Arequipa,Procesión del Paso
Arequipa,6 de agosto,Arequipa,Fiesta del del Señor de la Caña
Arequipa,1° semana de agosto,Valle del Colca,Tinca del ganado y limpia de acequias
Arequipa,1° semana de agosto,Arequipa,Procesión del Paso
Arequipa,15 de agosto,Arequipa,"Aniversario de la ciudad, semana turística
de Arequipa"
Arequipa,15 de agosto,Diversas provincias de Arequipa,Fiesta dela Virgen de la Asunta
Arequipa,8 de setiembre,Castilla,Fiesta de la Virgen de las Peñas
Arequipa,12-14 de octubre,Moquegua,Festividad de Santa Fortunata
Arequipa,1 de noviembre,Arequipa,"Fiesta de las guaguas y mazapanes por el Día
de los Santos"
Arequipa,2 de noviembre,"Distrito de cayma, Arequipa","Procesión de huesos por el Día
de los Difuntos"
Arequipa,8 de diciembre,Diversas provincias de Arequipa,Fiesta de la Inmaculada Concepción
Arequipa,25 de diciembre,Toda la región,Fiestas de Navidad
Ayacucho,2 de enero,Huamanga (Ayacucho),"Adoración del Niño y danzas de
la huaylijía y de huera"
Ayacucho,2-9 de enero,Huamanga,Bajada de Reyes
Ayacucho,20 de enero,Huamanga,Fiesta de San Sebastián
Ayacucho,2-14 de febrero,Ayacucho,Fiesta de la Virgen de la Candelaria
Ayacucho,Febrero,Ayacucho,Carnavales
Ayacucho,14 de febrero,Huamanga,"Escenificación del fusilamiento de María
Parado de Bellido"
Ayacucho,01 de mayo,Lucanas,Fiesta Patronal del Señor de Untura
Ayacucho,01 – 06 de mayo,"Huanta, La Mar, Lucanas",Fiesta de las Cruces
Ayacucho,16 de mayo,Ayacucho,Fiesta de la Virgen de Fátima
Ayacucho,06 de junio,Huamanga,Fiesta de San Juan
Ayacucho,16 de junio,Huamanga,Corpus Christi
Ayacucho,18 de julio,Páucar del Sara Sara,Fiesta de la Virgen del Carmen
Ayacucho,25-28 de julio,Páucar del Sara Sara,Fiesta patronal de Santiago
Ayacucho,28 de julio,Huamanga,"Fiestas, Patrias, Toros y waqrapukus"
Ayacucho,29 de julio-5 de agosto,Parinacochas,Fiesta de la virgen de las Nieves
Ayacucho,Julio o agosto,"Cangallo, Huanta, Víctor Fajardo","Ritual de la herranza o marcación del
ganado"
Ayacucho,15 de agosto,"Cangallo, Víctor Fajardo, Castrovirreyna",Fiesta de la Virgen de la Asunción
Ayacucho,21-27 de agosto,Lucanas,Procesión de San Isidro Labrador
Ayacucho,24 de agosto,Cangallo,Fiesta de San Bartolomé
Ayacucho,26-30 de agosto,La Mar,Fiesta patronal de San Miguel
Ayacucho,7 de diciembre,Huamanga,Fiesta de la Virgen de Cocharcas
Ayacucho,8-9 de setiembre,Lucanas,Yarqa asi o limpieza de acequias
