Departamento,Fechas,Lugar,Festividades
Junin,01-03 de enero,"Huancayo, Chupaca, Jauja","Danza de los Negritos, Danza del corcovado,
El Señor de Paca, Danza de la huaylijía."
Junin,01-05 de enero,Jauja,Fiesta Patronal de San Fabián.
Junin,06 de enero,Jauja,"Bajada de Reyes, danza del chacranegro y la
huaripampeada, Pascua de Reyes y danza de la huaylijía."
Junin,06-30 de enero,"Jauja, Valle del Mantaro","Bajada de Reyes. Fieta del Niño Jesús
y Danza del Concorvado."
Junin,11 de enero,"Concepción, Huancayo, Jauja","La Virgen de Lourdes, Santa Teresita, Fiesta
del Niño Jesús."
Junin,18-20 de enero,Jauja,"Fiesta de la tunantada y el 20/01 ejecución
del jalapato."
Junin,20 de enero,"Concepción, Huancayo, Jauja","San Sebastián, San Fabián. Fiesta
de Copone y Vaso Sagrado. Los Negritos. Chonguinada
y Huacón."
Junin,20-25 de enero,Concepción,"San Sebastián, San Fabián. Fiesta
de Copone y Vaso Sagrado. Los Negritos. Chonguinada
y Huacón."
Junin,20-29 de enero,Jauja,Festival de la Tunantada.
Junin,23 de enero,Jauja,Fiesta Patronal de San Sebastián.
Junin,25 de enero,"Concepción, Jauja, Huancayo","Fiesta del Niño Jesús, Avelinos.
El Señor de Paca. Santa Teresita."
Junin,28 de enero,Chupaca,Fiesta de la Capilla del Copón.
Junin,30 de enero,Huancayo,Taita Niño (Zumbanacuy sangriento).
Junin,Último domingo,Huancayo,"El Taita Niño de Huayucachi y estampa
costumbrista de los chinchillpos y gamonales."
Junin,Febrero,Todo Junín,Carnavales.
Junin,2 de febrero,"Concepción, Huancayo, Jauja","Fiesta de la Virgen de la Candelaria. «Cortamonte»,
Danza de la pandilla. Campña de la Breña.
El Macchu y la Paya. chinchillpos y gamonales."
Junin,7 de febrero,"Huancayo, Concepción","Carnaval, danza de Huaylash. Jalapato y pachahuara.
Virgen de la Candelaria."
Junin,10 de febrero,"Jauja, Chupaca, Huancayo y Concepción,
Tarma","Compadres y Comadres – Pachahuara. Nuestra Señora
de Lourdes. Fiesta de la Fajina. Fiesta de la
Calixtrada y Festival de mulizas. Ritual de la
«herranza»."
Junin,20-28 de febrero,Jauja,Señor de las Ánimas y perenigración.
Junin,27-29 de febrero,"Concepción, Huancayo, Jauja","Concurso de baile de huaylarsh, Tacanacuy. El
Señor de Paca, Taita Cruz Espinas y Carnaval.
El Señor de Ánimas de Paca, juego
de «comadres». La Cruz Verde y chalanes."
Junin,Marzo,Tarma,Feria de Tarma.
Junin,1 de marzo,"Jauja, Huancayo","Señor de las Ánimas. Fiesta de
Carnaval y concurso de huaylarsh. Fiesta de comadres
y carnaval."
Junin,3 de marzo,"Concepcion, Jauja, Chupaca","Fiesta civica, heroismo de las hermanas Toledo
(1821). Fiesta agricola y de carnaval. Fiesta
de San Jose. Señor de Tacuna y Señor
de Tantalcucho. Celebracion del Dia Mundial del
Artesano. Fiesta de la Virgen de la Encarnación."
Junin,22-30 de marzo,Tarma,Fiesta del Señor de Muruhuay.
Junin,Abril,Chupaca,Morenada.
Junin,1-30 de abril,"Huancayo, Jauja","Huaylarsh, Octava de Carnaval. Fiesta Patronal."
Junin,"Semana Santa. Domingo de Ramos. Jueves-Viernes
Santo. Pascua de Resurreccion. Domingo de Resurreccion.","Tarma, Jauja, Huancayo","Procesiones. Procesion de Jesus y bendicion
del maiz y del trigo. Procesion de Cristo. Fiesta
Civica de la majtada o Tropa de Caceres. Procesion
de la Virgen Dolorosa. Danza de la Pandilla. Procesion
de Cristo Resucitado."
Junin,18-20 de abril,"Huancayo, Chupaca",Aniversario de la batalla de Carato.
Junin,22 de abril,Huancayo,Aniversario heroes de Sicaya.
Junin,22-30 de abril,"Tarma, Jauja","Señor de Muruhuay. Aniversario de la
fundacion española de Jauja (1534)."
Junin,1 de mayo,Huancayo,La Virgen de Chapi.
Junin,1-4 de mayo,Junín,Festividad del Señor de Mayo.
Junin,1-31 de mayo,Tarma,Peregrinación del Señor de Muruhuay.
Junin,1 de mayo,Jauja,Danza de la Jija.
Junin,2 de mayo,"Huancayo, Jauja","La Virgen de Chapi. Taita Wali y Danza de la
Pandilla. Taita Mayo y Danza de la Jija."
Junin,2-6 de mayo,"Huancayo, Jauja","Virgen Maria. San Jose. Festividad del señor
de la Agonía, cortamonte y danza de la
pandilla."
Junin,3-8 de mayo,"Huancayo, Jauja",Danza de Shapish. Fiesta agricola de Jija.
Junin,4 de mayo,Huancayo,San Cristobal y Taita Mayo.
Junin,5 de mayo,"Jauja, Satipo",Aramachay. Huancadanza. San Martin.
Junin,6 de mayo,"Satipo, Tarma, Concepcion","Fiesta Patronal de San Martin de Porres. Señor
de Mayo. Heroinas Toledo, Virgen Maria."
Junin,10 de mayo,"Jauja, Huancayo, Chupaca","Jija. La Virgen del Carmen. Caña Quinto,
Danza de la Caña. Shapish Danza."
Junin,12-13 de mayo,"Junín, Huancayo, Yauli","Fiesta de las cruces. La Virgen de Fatima. San
Antonio de Padua."
Junin,13-15 de mayo,Jauja,Matahuasi. San Isidro Labrador.
Junin,15-16 de mayo,Jauja,"Fiesta del Niño Jesus. Huaripata. San
Isidro."
Junin,22 de mayo,"Jauja, Chicche",El Señor Anima Paca y Danza de la Pandilla.
Junin,24 de mayo,Jauja,Taita Cruz de Mayo y Danza de la Pandilla.
Junin,25 de mayo,"Jauja, Huancayo, Tarma","La Virgen del Rosario y Danza de la Capitania.
Señor del Mercado. Santa Elena y la Virgen
de la Asuncion."
Junin,26 de mayo,Concepcion,El Señor de Muruhuay.
Junin,26-28 de mayo,Huancayo,Fiesta de las Cruces.
Junin,27 de mayo,Huancayo,"Señor de la Exhaltacion. Fiesta del Señor
Chinvan."
Junin,29-30 de mayo,Huancayo,El Señor de Chilca.
Junin,1 de junio,"Jauja, Huancayo",Fiesta de Matahulo. Fiesta del Padre Eterno.
Junin,2 de junio,Jauja,Las Cruces Barrios y Danza de la Pandilla Toril.
Junin,3-5 de junio,Huancayo,"Feria Agropecuaria Artesanal. Tayta Padre. La
Santisima Trinidad."
Junin,8 de junio,Huancayo,San Pedro y San Pablo.
Junin,9-11 de junio,Huancayo,Fiesta del Padre Eterno y danza de la chonginada.
Junin,13 de junio,"Jauja, Yauli, Huancayo, Concepcion","La Santisima Cruz de Mayo y danza de la tunantada.
San Antonio de Padua y Danza de la Pandilla. San
Antonio de Ocopa. Taita Padre. La Santisima Trinidad.
Virgen de las Mercedes."
Junin,16-20 de junio,Jauja,"Festividad del Señor de Paca, Danza de
Negritos y Cortamonte. Corpus Christi y Danza
de la Pandilla."
Junin,22-30 de junio,"Huancayo, Chupaca, Junin, Tarma","San Juan Bautista. Feria Artesanal del Centro.
San Pedro de Saño."
Junin,26 de junio,Huancayo,"Huanconada, Huaylarsh y Chonguinada."
Junin,28 de junio,"Huancayo, Concepcion, Chupaca, Tarma, Junin,
Jauja","La Virgen del Perpetuo Socorro. San Pedro. El
Señor de Chilca. Llamichada."
Junin,1 de julio,"Huancayo, Chupaca",San Juan Bautista.
Junin,2 de julio,Tarma,Fiesta patronal de San Pedro de Cajas.
Junin,2-30 de julio,Concepcion,La Virgen de Ocopa.
Junin,5-30 de julio,Huancayo,Fiesta Patronal Central (25 de julio).
Junin,6 de julio,Huancayo,Fiesta patronal de San Pedro.
Junin,9 de julio,"Concepcion, Huancayo, Jauja","Campaña de la Breña. El Señor
de las Animas de Paca y Danzas del Jaljapacuy
y de la Pandilla. San Isidro."
Junin,10 de julio,Concepción,"Danza de los Auquis o Viejitos. La Virgen del
Carmen. San Isidro."
Junin,22 de julio,Jauja,"Fiesta de María Magdalena y Danza de
la Tunantada."
Junin,23 de julio,Concepcion,Virgen de la Magdalena.
Junin,24 de julio,"Huancayo, Chupaca",Santiago.
Junin,24-30 de julio,"Huancayo, Chupaca, Jauja","La Virgen del Carmen o La Morenada. Fiesta de
Santiago."
Junin,25 de julio,"Jauja, Tarma",Fiesta Patronal de San Cristobal.
Junin,28 de julio,Todo Junín,Fiestas Patrias.
Junin,2 de agosto,"Concepcion, Jauja","Porciuncula en honor a San Francisco y a la
Virgen de Ocopa. Santa Ana y Danza de la Pandilla.
San Juan de Dios."
Junin,4 de agosto,"Jauja, Huancayo, Sicaya","Fiesta Patronal de la Virgen de las Nieves y
Danzas de la Jija y de la Tunantada. Santo Domingo
de Guzman."
Junin,4-15 de agosto,"Huancayo, Sicaya, Jauja","Fiesta de San Juan de Dios. La Virgen de las
Nieves y Danzas de la Pandilla y de la Tunantada."
Junin,6 de agosto,"Todo Junín, Jauja","Aniversario de la Batalla de Junín. Danza
de la Chuncada."
Junin,"7, 8, 9 y 10 de agosto","Huancayo, Jauja, Concepcion, Vicso, Aco","El Señor de la Caña. San Isidro.
Baile Chacareros. Cruz de Villa Sausa. La Ascension
del Señor. Cruz de Mayo."
Junin,10 de agosto,"Concepcion, Huancayo, Jauja","Fiesta de San Isidro. Fiesta de San Lorenzo,
Corrida de toros, Cortamonte y Danza de la Tunantada.
El Señor de la Agonia."
Junin,12 de agosto,"Concepcion, Santa Clara","2da. Quincena Chanchamayo. Semana Turistica
de San Ramon."
Junin,15 de agosto,"Concepcion, Jauja, Junin","La Virgen de la Asuncion y Danza de la Tunantada.
San Roque y la Virgen del Perpetuo Socorro."
Junin,16 de agosto,"Concepcion, Huancayo, Jauja","Fiesta Patronal de San Roque. Danza de los Avelinos,
Danzas de la Pandilla y de la Tunantada y toros.
3era. Sem. Huancayo San Jeronimo de Tunan."
Junin,22 de agosto,Jauja,"Festividad del Señor de la Agonía
y danza de la tunantada."
Junin,23 de agosto,Huancayo,"Fiesta patronal de San Roque. Fiesta Patronal
de San Agustin."
Junin,24 de agosto,Huancayo,San Bartolome. Santo Cristo.
Junin,28-31 de agosto,Todo Junin,Festividad de Santa Rosa de Lima.
Junin,30 de agosto,"Carhuamayo, Huancayo","Festividad de Santa Rosa y escenificación
de la muerte del Inca. San Roque."
Junin,Setiembre,"Huancayo, Jauja, Concepcion, Chanchamayo, Chupaca","Escenificacion de la prision del inca y Fiesta
de la Virgen de la Merced."
Junin,6 de setiembre,"Jauja, Huancayo","Fiesta Patronal y Danza de la Pandilla. Fiesta
de la Virgen de Cocharcas, danzas de chunchos
y pallas."
Junin,8 de setiembres,"Huancayo, Chupaca y Concepcion",Fiesta Patronal de San Isidro. Virgen de Cocharcas.
Junin,12 de setiembre,Jauja,"El Señor de la Agonia Marco y Danza de
la Pandilla."
Junin,15 de setiembre,Huancayo,"Fiesta del Quince. Fiesta Patronal de San Agustin.
Danza de la Pandilla. Festival de la Virgen de
Cocharcas."
Junin,15-18 de setiembre,"Jauja, Huancayo",La Virgen de la Natividad. San Cristobal.
Junin,17-26 de setiembre,"Huancayo, Jauja",Fiesta de la Virgen de la Merced.
Junin,18 de setiembre,"Huancayo, Chupaca",La Virgen de la Merced.
Junin,19 de setiembre,Chanchamayo,San Jeronimo.
Junin,23-24 de setiembre,Huancayo,"La Virgen de las Mercedes. 4ta. Semana: Semana
Turistica de Huancayo."
Junin,28-30 de setiembre,Concepcion,San Miguel Arcangel.
Junin,29 de setiembre,"Huancayo, Chupaca, Jauja, Junin, Tarma",Festival. San Miguel Arcangel.
Junin,30 de setiembre,"Huancayo, Jauja","Fiesta Patronal de San Jerónimo. Aniversario
de Jesus y Danza de la Pandilla."
Junin,1 de octubre,Junin,La Virgen del Rosario.
Junin,3-5 de octubre,Huancayo,Concurso Regional Folclórico.
Junin,4 de octubre,"Concepcion, Junin, Huancayo",San Francisco de Asis.
Junin,1° domingo de octubre,Jauja,"Fiesta de la Virgen del Rosario y Danza de la
Pandilla Jaujina."
Junin,1° martes y miercoles de octubre,Jauja,Mamita Chapetona y Danza de la Pandilla Jaujina.
Junin,11 de octubre,Huancayo,La Virgen del Pilar.
Junin,15 de octubre,"Concepcion, Jauja, Huancayo","San Francisco de Asis. Fiesta de la Virgen del
Rosario y Danzas del Jaljapacuy y de la Pandilla.
San Lucas."
Junin,18 de octubre,"Huancayo, Concepcion, Jauja, Tarma, Chupaca","Fiesta del Señor de los Milagros. San
Lucas."
Junin,20 de octubre,Jauja,La Virgen del Rosario.
Junin,21 de octubre,Jauja,"Creacion Politica de San Lorenzo y Danza de
la Pandilla."
Junin,23 de octubre,Jauja,"Creacion Politica de El Mantaro. Creacion Politica
de Llocllapampa y Danza de la Pandilla."
Junin,24 de octubre,"Huancayo, Jauja",San Francisco.
Junin,25 de octubre,Jauja,Fiesta de la Virgen Chapetona.
Junin,26 de octubre,Jauja,Creacion Politica de Muquiyauyo.
Junin,1 de noviembre,"Huancayo, Sicaya, Jauja","Juego del «tejo» o danza de la Pachahuara
o Negrería."
Junin,3 de noviembre,Concepción,Festividad de San Martín de Porres.
Junin,8 de diciembre,"Concepción, Huancayo, Chupaca, Junin",La Purisima Concepcion.
Junin,24 de diciembre,"Concepción, Jauja",Danza de los auquis o viejitos.
Junin,24-31 de diciembre,Jauja,Danza de la Pachahuara o Negreria.
Junin,25 de diciembre,Todo Junín,"Pascua de Navidad. Danzas: de la Pachahuara,
del Chacranegro, de Pastoras, de la Huaylijia,
del Huayqui, de los Negritos, de la Tunantada,
de Pastorcitos, del Corcovado, y de Chutos."
La Libertad,1 de enero,Ascope,Fiesta del Señor del Calvario
La Libertad,20 de enero,Chepén,Fiesta de San Sebastián
La Libertad,4° semana de enero,Trujillo,Festival Nacional de la Marinera
La Libertad,2 de febrero,Trujillo,Fiesta de la Virgen de la Candelaria
La Libertad,2-6 de febrero,Huamachuco,Fiesta de la Virgen del Socorro
La Libertad,13,Huanchaco,Festival de caballitos de totora y Olimplaya
La Libertad,2 marzo,Salaverry y Huanchaco,Festival de San Pedro
La Libertad,5 marzo,Trujillo,Fundación española
La Libertad,24 marzo,Pataz,Fiesta de Santo Toribio de Mogrovejo
La Libertad,13 de junio,Pataz (Taurija),San Antonio de Padua
La Libertad,24 de junio,Otuzco (Julcán),Fiesta de la Virgen del Rosario
La Libertad,29 de junio,"Huanchaco, San Pedro de Lloc",Fiesta de San Pedro y San Pablo
La Libertad,Primera semana de julio,Trujillo (Virú),El Señor de la Sangre
La Libertad,13 de julio,Santiago de Chuco,Fiesta de Santiago. Feria Regional
La Libertad,15 de agosto,Huamachuco,Fiesta de la Virgen de la Alta Gracia
La Libertad,26 de agosto,"Otuzco, Santiago de Chuco","Virgen de la Asunción, patrona de los
pueblos"
La Libertad,14 de setiembre,Otuzco,Fiesta Patronal del Señor de la Misericordia
La Libertad,20-30 de setiembre,Trujillo,Festival Internacional de la Primavera
La Libertad,4 de octubre,Huamachuco,San Francisco de Asís
La Libertad,27 de octubre,Pataz,Virgen del Rosario
La Libertad,1 de noviembre,La Libertad,Fiesta de Todos los Santos
La Libertad,8-15,Chepén,Semana Jubilar
La Libertad,24,Huanchaco,Bajada de la Virgen del Socorro de trujillo
La Libertad,3 de diciembre,Pacasmayo (Guadalupe),Festival de la Virgen de Guadalupe
La Libertad,8 de diciembre,Salaverry,La Inmaculado Concepción
La Libertad,14 y 15 de diciembre,Otuzco,Fiesta de la Virgen de la Puerta
La Libertad,29 de diciembre,Trujillo,Aniversario de la Independencia de Trujillo
Lambayeque,2 de enero,Lambayeque,San Pablito.
Lambayeque,6 de enero,Lambayeque,El Niño Dios de Reyes y los Reyes Magos.
Lambayeque,22 de enero,Eten,Festividad del Divino Niño del Milagro.
Lambayeque,Febrero,Lambayeque (Movible),Fiesta de la Purísima Concepcion.
Lambayeque,2 de febrero,Lambayeque,La Virgen de la Candelaria.
Lambayeque,4 de febrero,Lambayeque,Festividad de San Andrés Corsino.
Lambayeque,9 de febrero,Chiclayo,Fiesta de la Cruz de Chalpón.
Lambayeque,21-28 de febrero,Chiclayo,Festival del Arroz.
Lambayeque,Última Semana,Lambayeque,Festividad de la Virgen Viajera.
Lambayeque,14 de marzo,Monsefú,Fiesta del Señor Cautivo.
Lambayeque,18 de marzo,Chiclayo,San José Patriarca.
Lambayeque,19 de marzo,Chiclayo,Fiesta de San José.
Lambayeque,18 de abril,Chiclayo,"Aniversario de la Fundacion de Chiclayo. La
Virgen de los Dolores."
Lambayeque,25 de abril,Ferreñafe,Fiesta del Señor de la Justicia.
Lambayeque,1 de mayo,Chiclayo,La Cruz de Mayo.
Lambayeque,2 de mayo,Chiclayo,La Cruz Velacuy.
Lambayeque,3 de mayo,"Chiclayo, Eten",La Cruz de Mayo.
Lambayeque,4 de mayo,Chiclayo,Festividad de la Santísima Cruz de Ucupe.
Lambayeque,5 de mayo,Lambayeque,Festividad de la Cruz del Río.
Lambayeque,10 de mayo,Lambayeque,Festividad de la Cruz de Pañalá.
Lambayeque,15 de mayo,"Saña, Lambayeque",San Isidro Labrador.
Lambayeque,18 de mayo,Lambayeque,Festividad de la Cruz del Camal.
Lambayeque,29 de mayo,Eten,La Cruz de Mayo.
Lambayeque,Junio,Lambayeque (Movible),Corpus Christi.
Lambayeque,24 de junio,"Chiclayo, Lambayeque",San Juan.
Lambayeque,29 de juni,"Chiclayo, Lambayeque",San Pedro. San Pablo.
Lambayeque,30 de junio,Lambayeque,San Pablo.
Lambayeque,Última Semana,Olmos,Festival del Limón.
Lambayeque,1 de julio,Chiclayo,Fiesta de San Benito de Palermo.
Lambayeque,16 de julio,"Chiclayo, Ferreñafe, Lambayeque",Festividad de la Virgen del Carmen.
Lambayeque,22 de julio,Eten,Festividad del Divino Niño del Milagro.
Lambayeque,Última Semana,Chiclayo,"Feria de Exposiciones Típico-Culturales
de Monsefú (FEXTICUM)."
Lambayeque,2 de agosto,Chiclayo,Aniversario del distrito de Santa Rosa.
Lambayeque,4 de agosto,Lambayeque,Festividad de Santo Domingo.
Lambayeque,5 de agosto,Motupe,Fiesta de la Santísima Cruz de Chalpón.
Lambayeque,13 de agosto,Lambayeque,Festividad de San Roque.
Lambayeque,20 de agosto,Lambayeque,Fiesta de la Cruz de Yanahuanca.
Lambayeque,25 de agosto,Lambayeque,Fiesta de la Cruz de Chalpón.
Lambayeque,14 de setiembre,Chiclayo,Feria Patronal.
Lambayeque,16 de setiembre,Ferreñafe,Festividad de Santa Lucía.
Lambayeque,24 de setiembre,"Ferreñafe, Lambayeque",La Virgen de las Mercedes.
Lambayeque,4 de octubre,Lambayeque,San Francisco de Asís.
Lambayeque,18 de octubre,"Chiclayo, Lambayeque","Fiesta de Santa Rosa de Lima. El Señor
de los Milagros."
Lambayeque,25 de octubre,Ferreñafe,Festividad del Señor de la Justicia.
Lambayeque,1 de noviembre,Lambayeque,Fiesta de Todos los Santos.
Lambayeque,2 de noviembre,Eten,"Festividad Patronal del Señor de la Buena
Muerte."
Lambayeque,4 de noviembre,Chiclayo,Aniversario del Pueblo.
Lambayeque,Movible,Ferreñafe,San Martín de Porras.
Lambayeque,11 de noviembre,Chiclayo,Festividad de San Martín de Tours.
Lambayeque,18 de noviembre,Chiclayo,San Martín de Porras.
Lambayeque,25 de noviembre,Chiclayo,Santa Catalina.
Lambayeque,29 de noviembre,Saña,Fundación Española de Saña.
Lambayeque,1era. semana de diciembre,Chiclayo,Semana Turística de Chiclayo.
Lambayeque,8 de diciembre,"Chiclayo, Lambayeque",Fiesta de la Inmaculada Concepción.
Lambayeque,13 de diciembre,Ferreñafe,Santa Lucía.
Lima,1° semana de marzo,Lunahuaná,"Festival de la uva, el Vino y el canotaje"
Lima,3 de mayo,Lima,"Fiesta de las Cruces, Peregrinación al
Cerro San Cristóbal de Lima"
Lima,3 de mayo,Canta,Fiesta del Señor de Huamantanga
Lima,5 de mayo,Cañete,Festival del Pisco
Lima,29 de junio,"Chimbote,Chorrillos, Callao",Fiesta de San Pedro y San Pablo
Lima,22 de julio,Casma,Fiesta de maría Magdalena
Lima,25 de julio,Huarochirí,Fiesta del patrón Santiago
Lima,1° quincena de agosto,Nasca,Fiesta de la Naranja
Lima,30 de agosto,Lima,Fiesta de Santa Rosa de Lima
Lima,30 de agosto,Huarochirí,Escenificación de la muerte del inca
Lima,21-31 de agosto,Cañete,Semana de cañete y festival de arte negro
Lima,8 de setiembre,Canta,Festividad de la Virgen de Cocharcas
Lima,8 de setiembre,Yauyos,"Festividad de la Virgen Purísima y escenificación
de la muerte del Inca"
Lima,29 de setiembre,Cajatambo,"Escenificación de la muerte del Inca
y fiesta de San Jerónimo de CopaOctubre-noviembre Lima Temporada de toros en la
Plaza de Acho"
Lima,6.7 de octubre,Canta,Fiesta del Agua. Moros y cristianos
Lima,2° semana de octubre,Huarochirí,"Fiesta del Agua o Champería en San Pedro
de casta"
Lima,18-28 de octubre,Lima,Procesiones del Señor de los Milagros
Lima,31 de octubre,Lima,Día de la Canción Criolla
Loreto,5 de enero,Iquitos,"Aniversario del arribo al puerto de los buques
de la Marina de Guerra (el bergantín Próspero)"
Loreto,7 de febrero,7 de febrero,"Creación política del Departamento
Marítimo Militar de Loreto"
Loreto,13 de febrero,Iquitos,Fiesta de carnavales
Loreto,Domingo de Ramos,Iquitos,Procesión de Palmas
Loreto,5 de junio,Maynas,"San Antonio, danza de los cabezones"
Loreto,24 de junio,Región Amazónica,Fiesta de San Juan
Loreto,25-29 de junio,Iquitos,Fiesta de San Pedro y San Pablo
Loreto,16 de julio,16 de julio,Fiesta Patronal de la Virgen del Carmen
Loreto,Julio o agosto,Lamas,Fiesta de la Santa Cruz de los Motilones
Loreto,27-29 de julio,Requena,Feria Agropecuaria Artesanal de Jenaro Herrera
Loreto,4-15 de agosto,Yurimaguas,La Virgen de las Nieves
Loreto,30 de agosto,Loreto,Fiesta de los Chayahuitas
Loreto,8 de setiembre,Maynas,Nuestra Señora de la Natividad
Loreto,22-26 de setiembre,Iquitos,Santo Tomás
Loreto,1 de noviembre,Iquitos,Fiesta de los Telentenos y del Amana
Loreto,7-9 de diciembre,Loreto,Fiesta de la Inmaculada Concepción
Madre De Dios,23 de enero,Madre de Dios,Día de la artesanía
Madre De Dios,Febrero,Puerto Maldonado,Carnaval de Comparsas
Madre De Dios,Marzo-abril,Fecha movible,Semana Santa
Madre De Dios,1-6 de mayo,Madre de Dios,Fiesta de las Cruces Religiosas
Madre De Dios,3 de mayo,Madre de Dios,Fiesta de la Cruz
Madre De Dios,24 de mayo,Manu (comun. De Salvación),La Virgen de Chapi
Madre De Dios,24 de junio,Región Amazónica,Fiesta de San Juan (Caserío del Prado)
Madre De Dios,25-29 de junio,Tambopata (Puerto Maldonado),Fiesta de San Pedro y San Pablo
Madre De Dios,28-29 de junio,Madre de Dios,Fiesta del Caserío de Cachuela
Madre De Dios,20 de julio,Madre de Dios,Semana turística de Madre de Dios
Madre De Dios,26-30 de julio,Tambopata (Puerto Maldonado),"Feria agropecuaria, industrial y artesanal"
Madre De Dios,15 de agosto,Chachapoyas,Chachapoyas
Madre De Dios,17 de octubre,Madre de Dios,Feria de alimentos nativos y artesanía
Madre De Dios,6 de noviembre,,Fiesta de la comunidad nativa de Palma Real
Madre De Dios,26 de diciembre,Puerto Maldonado,"Aniversario de la creación política
 del departamento de Dios (1912)"
Moquegua,2 de febrero,Mariscal Nieto,Virgen de la Candelaria.
Moquegua,19 de febrero,Ilo,Semana Turística.
Moquegua,3 de abril,Moquegua,Aniversario del departamento.
Moquegua,1era. semana de mayo,Todo Moquegua,Fiesta de las Cruces.
Moquegua,15 de mayo,Mariscal Nieto,Fiesta de San Isidro Labrador.
Moquegua,26 de mayo,Ilo,Aniversario de la provincia.
Moquegua,5-6 de junio,Torata,Aniversario.
Moquegua,16 de julio,Ilo,Festividad de la Virgen del Carmen.
Moquegua,14 de octubre,Moquegua,Fiesta Patronal de Santa Fortunata.
Moquegua,8 de noviembre,Mariscal Nieto,Aniversario del distrito.
Moquegua,19 de noviembre,Moquegua,Fiesta de la Inmaculada Concepción.
Moquegua,25 de noviembre,Moquegua,"Aniversario de la provincia y Semana Turística
de Moquegua"
Moquegua,8 de diciembre,"Mariscal Nieto, General Sánchez Cerro",La Inmaculada Concepción.
Pasco,1 de enero,Cerro de Pasco,Danza de los Negritos.
Pasco,1-15 de enero,Pasco,Fiesta Patronal y Danza Patronal.
Pasco,Febrero o marzo (movible),Cerro de Pasco,Calixtrada. Carnaval y Festival de Mulizas.
Pasco,1-6 de mayo,Pasco,Fiesta de las Cruces.
Pasco,25-29 de junio,Pasco,Fiesta de San Pedro y San Pablo.
Pasco,24 de julio – 2 de agosto,Daniel Alcides Carrión,"Danzas de Chunchos y de Pallas y escenificación
de la muerte del Inca."
Pasco,26-29 de julio,"Oxapampa, Pozuzo",Semana Turística.
Pasco,4-15 de agosto,Pasco,La Virgen de las Nieves.
Pasco,30 de agosto,Oxapampa,Aniversario de la Fundación (1891).
Pasco,26-31 de agosto,Oxapampa,Semana Turística de Oxapampa.
Pasco,27 de noviembre,"Oxapampa, Villa Rica, Daniel Alcidez Carrión","Creación de Villa Rica (1944). Semana
Turística de Villa Rica y Torneo de Cintas.
Aniversario de D. Alcidez Carrión."
Pasco,7-10 de diciembre,Pasco,La Inmaculada Concepción.
Piura,1-15 de enero,Sullana,"Feria Internacional de Reyes y Festival de la
Canción (ferias de artesanía, concursos
folclóricos con participantes de Ecuador
y Colombia) Fecha central: 6."
Piura,6 de enero,"Huancabamba, Piura, Sechura","Fiesta de Herodes del Balcón y los Tres
Reyes. Bajada de Reyes."
Piura,14 de enero,Huancabamba,"Aniversario de la creación política
de la provincia."
Piura,20 de enero,Morropón,San Sebastián y San Chabaquito.
Piura,2 de febrero,Sullana,Festival del Señor de Chocán.
Piura,19-26 de marzo,Talara,Semana de Talara y Feria.
Piura,30 de marzo,Piura,Aniversario de la Fundación del Departamento.
Piura,Abril Semana Santa,Piura,Representación de Moctezuma.
Piura,Domingo de Ramos,"Huancabamba, Piura","Procesión de El Señor Triunfante
en burro. Misa y bendición de palmas."
Piura,Lunes Santo,Piura,Procesión de El Señor Cautivo.
Piura,Martes Santo,Piura,Procesión de El Señor de la Caña.
Piura,Miércoles Santo,Piura,Encuentro del Señor con Santa Verónica.
Piura,Domingo de Ramos,Piura,Procesión de Cristo Resucitado.
Piura,3 de mayo,"Ayabaca, Huancabamba, Piura",Fiesta de la Cruz.
Piura,15 de mayo,Piura,Fiesta de San Isidro.
Piura,Movible (mayo o junio),"Huancabamba, Piura",Corpus Christi.
Piura,21 de junio,Sullana,Aniversario de la ciudad.
Piura,24 de junio,Huancabamba,Fiesta de San Juan.
Piura,29 de junio,Paita,Festividad de San Pedro.
Piura,Movible,Piura,Virgen del Perpetuo Socorro.
Piura,14-20 de julio,Huancabamba,La Virgen del Carmen. Día central: 14.
Piura,16 de julio,Sullana,Festividad de la Virgen del Carmen.
Piura,14-15 de agosto,Huancabamba,Nuestra Señora de La Asunción.
Piura,30 de agosto,"Huancabamba, Morropón","Feria del Café. Fiesta de Santa Rosa
de Lima."
Piura,1-9 de setiembre,Piura,Fiesta del Algodón.
Piura,22-30 de setiembre,Paita,"Peregrinación de La Virgen de las Mercedes.
Fecha central: 24."
Piura,24 de setiembre,"Piura, Sullana",La Virgen de las Mercedes.
Piura,23-24 de setiembre,"Piura, Huancabamba","Fundación española de la ciudad
de Piura (1532) y Semana Turística de Piura.
Feria agropecuaria."
Piura,1-15 de octubre,Ayabaca,"Peregrinación y procesión de El
Señor Cautivo de Ayabaca. Fecha central:
13 de octubre."
Piura,4 de octubre,"Morropón, Sullana","San Francisco de Asís. Aniversario de
Sullana."
Piura,1° semana,Piura,"Semana Jubilar de Piura. Festival del Tondero
y de la Marinera Norteña (Club Grau)."
Piura,1 de noviembre,Morropón,Todos los Santos y los «angelitos».
Piura,1-2 de noviembre,"Piura, Morropón, Sullana","Todos los Santos. Día de los difuntos.
Velaciones."
Piura,6-15 de noviembre,Sullana,Feria de Sullana.
Piura,8 de diciembre,Sullana,Aniversario de Bellavista.
