Departamento,Título,Resumen,Sección,Fecha,Enlace
Amazonas,Pueblo de los Muertos en peligro: incendios forestales afectan patrimonio cultural en Amazonas,"A una hora de Chachapoyas, los miradores del sitio arqueológico Pueblo de los Muertos permitían apreciar la inmensidad del valle del Utcubamba. H...",Perú,28/09/2024,https://elcomercio.pe/peru/incendios-forestales-peru-el-dano-en-los-miradores-de-amazonas-un-simbolo-del-alcance-de-los-incendios-forestales-amazonas-peru-incendio-selva-amazonia-estado-de-emergencia-noticia/
Amazonas,"Fuerza Aérea y Ejército intensifican acciones para mitigar incendios forestales en Lambayeque, Cajamarca, Amazonas y Ucayali",Se lanzaron más de 20 mil litros de agua en tres regiones y se desplazaron cerca de 50 efectivos de las Compañías de Intervención Rápida para Des...,Sucesos,19/09/2024,https://elcomercio.pe/lima/sucesos/incendios-forestales-en-peru-fuerza-aerea-y-ejercito-intensifican-acciones-para-mitigar-incendios-forestales-en-lambayeque-cajamarca-amazonas-y-ucayali-fuerzas-armadas-dina-boluarte-ultimas-noticia/
Amazonas,"Amazonas, Lambayeque, Cusco y otras regiones en emergencia por incendios forestales en el Perú",El Gobierno junto a los diversos organismos públicos vienen controlando la mayor parte de los incendios forestales que se había desencadenado en ...,Qué,15/09/2024,https://elcomercio.pe/respuestas/que/amazonas-lambayeque-cusco-y-otras-regiones-en-emergencia-por-incendios-forestales-en-el-peru-tdpe-noticia/
Amazonas,Incendios forestales en Amazonas: poblados de Luya y Lamud piden estado de emergencia,"Las llamas afectan ya una semana al distrito de Lámud, la provincia de Luya. Hasta el momento no se reporta ninguna persona muerta o herida.",Amazonas,13/09/2024,https://elcomercio.pe/peru/amazonas/incendios-forestales-en-amazonas-pobladores-de-luya-y-lamud-piden-estado-de-emergencia-y-asistencia-a-bomberos-ultimas-noticia/
Amazonas,La curiosa característica de los incendios en el Amazonas,Esta nueva investigación profundiza nuestra comprensión de cómo los incendios de vegetación afectan al cambio climático.,Ciencias,04/09/2024,https://elcomercio.pe/mag/respuestas/ciencias/la-curiosa-caracteristica-de-los-incendios-en-el-amazonas-nnda-nnrt-noticia/
Amazonas,Amazonas: Incendio forestal arrasa cerca de 700 hectáreas en área de conservación Milpuj,Las llaman han destruido cerca de 700 hectáreas de bosque estacionalmente seco.,Amazonas,01/09/2024,https://elcomercio.pe/peru/amazonas/amazonas-incendio-forestal-arrasa-con-cerca-de-700-hectareas-en-el-area-de-conservacion-milpuj-chachapoyas-ultimas-noticia/
Amazonas,Niños de Amazonas son castigados con plantas de ortiga: MIMP anuncia investigación del caso | VIDEO,Indignante. El Ministerio de la Mujer está tomando medidas para identificar a los afectados con el fin de intervenir y contribuir a su protección...,Perú,31/08/2024,https://elcomercio.pe/peru/ninos-de-amazonas-son-castigados-con-plantas-de-ortiga-mimp-anuncia-investigacion-del-caso-comunidad-awajun-bagua-ultimas-noticia/
Amazonas,"Día del café peruano: Artidoro Rodríguez Café hará degustación gratis de cafés de Amazonas, Villa Rica, Cusco y Cajamarca","Desde el 2008, cada cuarto viernes de agosto se celebra el Día del café peruano. Para esta edición 2024, son varios los eventos que se realizarán...",Tendencias,22/08/2024,https://elcomercio.pe/provecho/tendencias/dia-del-cafe-peruano-artidoro-rodriguez-cafe-hara-degustacion-gratis-de-cafes-de-amazonas-villa-rica-cusco-y-cajamarca-noticia/
Amazonas,Proeza científica: universidad de Amazonas logra clonar el caballo peruano de paso,"En junio del año 2017, la Universidad Nacional Toribio Rodríguez de Mendoza (UNTRM) ya había logrado la primera clonación de ganado bovino",Sucesos,18/08/2024,https://elcomercio.pe/lima/sucesos/caballo-peruano-de-paso-cientifcios-de-la-universidad-nacional-toribio-rodriguez-de-mendoza-logran-clonar-animal-video-untrm-amazonas-clonacion-ultimas-noticia/
Amazonas,"Entregarán bonos de arrendamiento a familias por intensas lluvias en Puno, Amazonas y Apurímac","Se entregará esta subvención económica temporal a ciudadanos de los distritos de Oropesa, Chincheros, Pichirhua, Huanipaca, Cabanillas y Lonya Gr...",Sucesos,17/08/2024,https://elcomercio.pe/lima/sucesos/ministerio-de-vivienda-construccion-y-saneamiento-entregaran-bonos-de-arrendamiento-a-familias-por-intensas-lluvias-en-puno-amazonas-y-apurimac-bae-mvcs-ultimas-noticia/
Amazonas,Nueva carretera conectará Amazonas y Loreto: el impacto de la obra que será construida con Japón,El Ministerio de Transportes y Comunicaciones firmó en mayo pasado un acuerdo histórico con Japón para la realización de este megaproyecto. Se pr...,Perú,11/08/2024,https://elcomercio.pe/peru/eje-vial-iv-los-detalles-de-la-construccion-y-el-asfaltado-de-una-nueva-carretera-que-conectara-las-regiones-amazonas-y-loreto-noticia/
Amazonas,Amazonas: Essalud envía médicos para brindar más de 3.000 atenciones gratuitas a la población,"Las atenciones fueron supervisadas por la titular del Seguro Social, María Aguilar Del Águila, quien informó que la campaña, mediante Hospital Pe...",Amazonas,16/07/2024,https://elcomercio.pe/peru/amazonas/amazonas-essalud-envia-medicos-para-brindar-mas-de-3000-atenciones-gratuitas-a-la-poblacion-ultimas-noticia/
Amazonas,Las sequías en el Amazonas conllevan ya “importantes impactos” en la población,Un estudio elaborado por el Instituto de Ciencia y Tecnología Ambientales de la Universidad Autónoma de Barcelona señala que el aumento de la fre...,Ecología,12/07/2024,https://elcomercio.pe/tecnologia/ecologia/las-sequias-en-el-amazonas-conllevan-ya-importantes-impactos-en-la-poblacion-noticia/
Amazonas,Amazonas: Minedu implementa 16 redes de protección comunal en defensa de escolares ante casos de violación sexual,"El objetivo es prevenir, sancionar y erradicar toda forma de violencia sexual en perjuicio de los estudiantes awajún y wampis.",Sucesos,07/07/2024,https://elcomercio.pe/lima/sucesos/amazonas-ministerio-de-educacion-implementa-16-redes-de-proteccion-comunal-en-defensa-de-escolares-antes-casos-de-violacion-sexual-minedu-morgan-quero-provincia-de-condorcanqui-ultimas-noticia/
Áncash,Áncash: murió una de las montañistas japonesas rescatadas del Huascarán,"Las turistas permanecieron más de un día atrapadas a más de 6,500 metros de altura. Una de ellas falleció durante el descenso.",Ancash,26/06/2025,https://elcomercio.pe/peru/ancash/ancash-rescatan-con-vida-a-montanistas-japonesas-atrapadas-en-el-huascaran-ultimas-noticia/
Áncash,Áncash: Policía recupera cuerpos de montañistas fallecidos en el nevado Artesonraju,"Los tres andinistas, entre ellos un ciudadano brasileño, fueron hallados a más de 6.000 metros sobre el nivel del mar, tras intensas labores de b...",Ancash,24/06/2025,https://elcomercio.pe/peru/ancash/ancash-policia-recupera-cuerpos-de-montanistas-fallecidos-en-el-nevado-artesonraju-ultimas-noticia/
Áncash,Áncash: Impresionante avalancha en el Huascarán sorprende a turistas,"En Yungay, Áncash, guías de montaña y pobladores se alarmaron tras el desprendimiento de nieve y hielo en el nevado Huascarán, cuya avalancha fue...",País,12/06/2025,https://elcomercio.pe/videos/pais/ancash-impresionante-avalancha-en-el-huascaran-sorprende-a-turistas-viral-nnav-video-tvpe-noticia/
Áncash,Áncash: Reinician búsqueda de montañistas desaparecidos con drones y equipos especializados,Jóvenes llevan más de 10 días desaparecidos; hasta ahora no se han hallado rastros en la cordillera Blanca.,Ancash,09/06/2025,https://elcomercio.pe/peru/ancash/ancash-reinician-busqueda-de-montanistas-desaparecidos-en-el-artesonraju-con-drones-y-equipos-especializados-ultimas-noticia/
Áncash,Áncash: tres montañistas desaparecidos en nevado Artesonraju,"Homer Pretel, Jesús Picón y Edson Bandeira cursaban el último ciclo del Centro de Estudios de Alta Montaña de Huaraz.",Ancash,04/06/2025,https://elcomercio.pe/peru/ancash/ancash-tres-montanistas-llevan-desaparecidos-mas-de-una-semana-en-nevado-artesonraju-ultimas-noticia/
Áncash,Áncash: camión estuvo a punto de caer a abismo en Sihuas,"Minutos de desesperación se vivieron en Sihuas, Áncash, cuando un camión estuvo a punto de caer a un abismo en la Vía 12A. Afortunadamente, el ch...",País,26/05/2025,https://elcomercio.pe/videos/pais/ancash-camion-estuvo-a-punto-de-caer-a-abismo-en-sihuas-nnav-video-amtv-noticia/
Áncash,Sismo de magnitud 5.0 remeció Áncash esta mañana,El movimiento telúrico se registró a las 06:13 a. m. al oeste de la ciudad de Chimbote.,Ancash,22/05/2025,https://elcomercio.pe/peru/ancash/sismo-en-ancash-de-magnitud-50-remecio-esta-manana-a-pobladores-chimbote-ultimas-noticia/
Áncash,"Gobierno prorroga estado de emergencia en Áncash, Huánuco, Madre de Dios y Puno por lluvias intensas",Medida regirá desde el 21 de mayo por un plazo de 30 días calendario.,Perú,17/05/2025,https://elcomercio.pe/peru/gobierno-prorroga-estado-de-emergencia-en-ancash-huanuco-madre-de-dios-y-puno-por-lluvias-intensas-ultimas-noticia/
Áncash,Áncash: montañista cayó a una grieta de 100 metros en el nevado Vallunaraju,El Parque Nacional Huascarán informó que las personas rescatadas no se encontraban registradas oficialmente para ingresar al nevado.,Ancash,15/05/2025,https://elcomercio.pe/peru/ancash/ancash-montanista-cayo-a-una-grieta-de-100-metros-en-el-nevado-vallunaraju-ultimas-noticia/
Áncash,Tragedia en Áncash: desborde del río Casca deja dos niños fallecidos y 5 desaparecidos,"Hay alrededor de 100 damnificados y varias zonas se encuentran sin agua potable ni energía eléctrica. Asimismo, tres puentes resultaron afectados...",Perú,28/04/2025,https://elcomercio.pe/peru/ancash-desborde-del-rio-casca-deja-dos-ninos-fallecidos-y-5-desaparecidos-ultimas-noticia/
Áncash,Áncash: 12 escolares se intoxicaron tras consumir alimentos del programa Wasi Mikuna,"Menores del colegio Ricardo Palma, en la provincia de Carhuaz, presentaron síntomas como dolor abdominal y náuseas tras ingerir una ración escola...",Perú,25/04/2025,https://elcomercio.pe/peru/ancash-12-escolares-se-intoxicaron-tras-consumir-alimentos-del-programa-wasi-mikuna-ultimas-noticia/
Áncash,Áncash: Antamina reportó accidente que dejó un muerto y un herido en el campamento Yanacancha,El ejecutivo se encontraba realizando sus labores en la operación minera cuando ocurrió el accidente. El lamentable hecho dejó también a otro tra...,Perú,22/04/2025,https://elcomercio.pe/economia/peru/ancash-muere-gerente-senior-de-la-empresa-minera-antamina-a-causa-de-un-accidente-ancash-antamina-noticia/
Áncash,Áncash: glaciar se desprendió durante curso de rescate para montañistas,Un grupo internacional de montañistas que participaba en un curso de rescate en la montaña Vallunaraju fue sorprendido por el desprendimiento de ...,País,19/04/2025,https://elcomercio.pe/videos/pais/ancash-glaciar-se-desprendio-durante-curso-de-rescate-para-montan-nnav-video-tvpe-noticia/
Áncash,Áncash: práctica de rescate de andinistas casi termina en tragedia,"El desprendimiento ocurrió mientras se realizaba una actividad de formación. Afortunadamente, no hubo heridos ni fallecidos que lamentar",Ancash,18/04/2025,https://elcomercio.pe/peru/ancash/ancash-semana-santa-practica-de-rescate-de-andinistas-casi-termina-en-tragedia-ultimas-noticia/
Áncash,"Senamhi: vientos moderados a fuertes persistirán en Áncash, Ica, Lima y más regiones","El fenómeno se extenderá hasta el 2 de abril y podría provocar levantamiento de polvo, reducción de visibilidad y formación de neblina en sectore...",Perú,01/04/2025,https://elcomercio.pe/peru/senamhi-vientos-moderados-a-fuertes-impactaran-ancash-ica-lima-y-mas-regiones-ultimas-noticia/
Áncash,Universitario vs. Real Áncash FC por la primera jornada de la Liga Femenina de fútbol 2025: cómo ver y cuándo juegan,Mira aquí todos los detalles del duelo entre Universitario vs. Real Áncash FC,Deportes,28/03/2025,https://elcomercio.pe/respuestas/deportes/universitario-vs-real-ancash-fc-por-la-primera-jornada-de-la-liga-femenina-de-futbol-2025-como-ver-y-cuando-juegan-tdpe-noticia/
Áncash,Áncash: enorme huaico destruye casas y deja al menos 30 personas afectadas,Las autoridades locales mencionaron que se seguirá informando sobre los avances de los trabajos en las próximas horas.,Perú,20/03/2025,https://elcomercio.pe/peru/ancash-enorme-huaico-en-san-marcos-destruye-casas-y-deja-siete-familias-damnificadas-y-30-personas-afectadas-luvias-ultimas-noticia/
Áncash,Áncash: graban a mujeres vestidas de policías en presunto estado de ebriedad,Una de ellas cayó al suelo mientras su compañera intentaba sostenerla.,Perú,12/03/2025,https://elcomercio.pe/peru/ancash-graban-a-mujeres-vestidas-de-policias-en-presunto-estado-de-ebriedad-ultimas-noticia/
Áncash,"Tejiendo esperanza en Áncash, alerta por desbordes e inseguridad en aumento",Revisa aquí los comentarios editoriales de El Comercio este sábado 8 de marzo.,Columnistas,08/03/2025,https://elcomercio.pe/opinion/columnistas/tejiendo-esperanza-en-ancash-alerta-por-desbordes-e-inseguridad-en-aumento-noticia/
Áncash,"Lluvias en Perú: alerta roja en Lima, Tumbes, Piura, Áncash y otras regiones","Producto de las intensas lluvias, diversas regiones del país, se están generando huaicos, desbordes e inundaciones. Se declaró estado de emergenc...",Perú,08/03/2025,https://elcomercio.pe/peru/lluvias-en-peru-en-vivo-alerta-roja-en-lima-tumbes-piura-ancash-y-otras-regiones-por-desborde-de-rios-derrumbes-y-huaicos-senamhi-indeci-rio-rimac-chaclacayo-chosica-afectados-damnificados-noticia/
Áncash,Gobierno Regional de Áncash concretó transferencia del Proyecto Especial Chinecas al Gobierno central,"De acuerdo con Minagri, con este proyecto en la región Áncash, el agro va a superar a la minería en exportaciones, proyectándose como potencia ag...",Perú,13/02/2025,https://elcomercio.pe/economia/peru/gobierno-regional-de-ancash-concreto-transferencia-del-proyecto-especial-chinecas-al-gobierno-central-i-ultimas-noticia/
Áncash,Huaico en Áncash deja dos muertos y una persona herida en Bambas,Deslizamiento sorprendió a trabajadores que realizaban labores de captación de agua.,Ancash,10/02/2025,https://elcomercio.pe/peru/ancash/huaico-en-ancash-deja-dos-muertos-y-una-persona-herida-en-bambas-desastre-natural-coer-emergencia-ultimas-noticia/
Áncash,Áncash: pueblo de Tambo Real lleva más de 15 días sin reportar nuevos casos de COVID-19 | VIDEO,Población realiza desinfecciones semanales y han fabricado una cabina artesanal para prevenir más casos de COVID-19.,Perú,08/01/2025,https://elcomercio.pe/peru/ancash-pueblo-de-tambo-real-lleva-mas-de-15-dias-sin-reportar-nuevos-casos-de-covid-19-nnpp-noticia/
Áncash,Áncash: crean la Universidad Nacional Autónoma en el distrito de San Marcos,"El centro de estudios superiores tendrá las carreras de Medicina Humana y de ingeniería Agroforestal, Agrícola, Ambiental, Geológica, de Minas, e...",Sucesos,05/01/2025,https://elcomercio.pe/lima/sucesos/ancash-crean-la-universidad-nacional-autonoma-en-el-distrito-de-san-marcos-noticia/
Áncash,Transportistas de Áncash exigen declarar en emergencia las carreteras tras fatal accidente,"La Asociación de Transportistas de Áncash exige la declaratoria de emergencia de las carreteras tras el accidente en Piscobamba, que dejó seis fa...",Ancash,04/01/2025,https://elcomercio.pe/peru/ancash/transportistas-de-ancash-exigen-declarar-en-emergencia-las-carreteras-tras-fatal-accidente-sutran-ultimas-noticia/
