departamento,lugar_recomendado,descripcion,precio,duracion,url
Áncash,Habitación en Huaraz,Habitación matrimonial. bien ambientada,S/257,por 5 noches,https://www.airbnb.com.pe/rooms/654446928618865135?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-14&check_out=2025-07-19&children=0&infants=0&pets=0&photo_id=1429564385&source_impression_id=p3_1752048139_P3N-P_YcRbMvk_2l&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Áncash,Apartamento en Huaraz,Hermoso Depa Privado,S/467,por 5 noches,https://www.airbnb.com.pe/rooms/1407245362491380788?search_mode=regular_search&adults=1&check_in=2025-07-30&check_out=2025-08-04&children=0&infants=0&pets=0&source_impression_id=p3_1752048139_P3_OnNdixpHr8wW8&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Áncash,Apartamento en Huaraz,Lindo departamento para una pareja,S/584,por 5 noches,https://www.airbnb.com.pe/rooms/1100794225881929362?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048139_P3py8R9SaOpjzGWF&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Áncash,Habitación en Huaraz,Hab. Triple Familiar en el centro de Huaraz,S/436,por 5 noches,https://www.airbnb.com.pe/rooms/1174039158786629774?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&photo_id=1925298567&source_impression_id=p3_1752048139_P3tnxUZTNxK9hT6y&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Áncash,Apartamento en Huaraz,"Hermoso departamento en estreno, con bonita vista",S/788,por 5 noches,https://www.airbnb.com.pe/rooms/1430068874850769874?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048139_P3Sh25DbAbGL_KHX&previous_page_section_name=1000&federated_search_id=8804b038-40c4-49c7-ac96-dc23a1083b4b
Apurímac,Apartamento en Abancay,Habitación amoblada,S/278,por 5 noches,https://www.airbnb.com.pe/rooms/1442770649701728249?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048151_P369qJgB4Q23UpsP&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Apurímac,Apartamento en Abancay,"2 habitaciones, Netflix, wifi rápido,cochera",S/590,por 5 noches,https://www.airbnb.com.pe/rooms/1273904854519956012?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1752048153_P3-a8_HfFYuLsI8E&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Apurímac,Apartamento en Abancay,Acogedor mini DPTO. en Abancay,S/380,por 5 noches,https://www.airbnb.com.pe/rooms/1243056063595904735?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048153_P3x1u2Ie6mncQ9p_&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Apurímac,Apartamento en Abancay,Departamento en Abancay - todo equipado,S/620,por 5 noches,https://www.airbnb.com.pe/rooms/966660853595826186?search_mode=regular_search&adults=1&check_in=2025-07-15&check_out=2025-07-20&children=0&infants=0&pets=0&source_impression_id=p3_1752048153_P3hpu-Ke5shzUpiJ&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Apurímac,Habitación en Abancay,Habitación privada_Tamburco/ cama 2 plazas,S/144,,https://www.airbnb.com.pe/rooms/1431394756698030432?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&photo_id=2192422979&source_impression_id=p3_1752048153_P3qfvEsb6KwalkrM&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Apurímac,Apartahotel en Abancay,Minidepartamento en el centro de Abancay,S/525,,https://www.airbnb.com.pe/rooms/53516753?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048153_P3xAvpCnAjT0QQnj&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Apurímac,Habitación en Abancay,402 Apartamento 2 equipado moderno,S/607,por 5 noches,https://www.airbnb.com.pe/rooms/33079461?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&photo_id=2140979318&source_impression_id=p3_1752048153_P3Hprltm_xDFbr8s&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Apurímac,Apartamento en Abancay,La Casita de Esperanza,S/467,,https://www.airbnb.com.pe/rooms/1439483576985440044?search_mode=regular_search&adults=1&check_in=2025-07-13&check_out=2025-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1752048153_P3tiBxcMOVWjko-J&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Apurímac,Hotel en Abancay,Hotel acogedor y elegante.,S/350,por 5 noches,https://www.airbnb.com.pe/rooms/1289304746837462808?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048153_P37pi8gzNIdMxMS1&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Apurímac,Habitación en Abancay,Habitación simple en Abancay,S/280,por 5 noches,https://www.airbnb.com.pe/rooms/840554360982759437?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&photo_id=1607030698&source_impression_id=p3_1752048153_P34HyJdEy1xUC-Mc&previous_page_section_name=1000&federated_search_id=1d0749fa-81e3-457f-8ffb-84b6f0e21508
Arequipa,Lugar para quedarse en Arequipa,Habitación Independiente,S/385,por 5 noches,https://www.airbnb.com.pe/rooms/1206023868127959171?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1752048163_P3fQFAtWXNWSrvwU&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
Arequipa,Apartamento en Arequipa,Apartamento Mall Porongoche,S/294,,https://www.airbnb.com.pe/rooms/1415568139707990856?search_mode=regular_search&adults=1&check_in=2025-07-10&check_out=2025-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1752048165_P3HH978h-iuhR1tX&previous_page_section_name=1000&federated_search_id=65cccc83-c45f-4746-bdac-de5768a75bd6
